estado,estacion,antena,latitud,longitud,altitud,fecha,dir_rafaga,dir_viento,vel_rafaga,vel_viento,temperatura,humedad,presion_barometrica,precipitacion,radiacion_solar,rh
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,09/05/2019,0.6833323148204731,0.568244745154623,0.807959856526937,0.7623432905123051,0.192325897875865,0.108443170044095,0.935852068486861,0.5,0.904055313142868,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,13/05/2019,0.6916656018577672,0.618383741594754,0.8278866707727979,0.698885621420833,0.21303473167268205,0.27711380448663897,0.936104023567548,0.5,0.85562402560862,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,16/05/2019,0.5916661574102371,0.610027242188066,0.637676171153219,0.717458597740288,0.242618779953849,0.32530541432736604,0.9362887906267192,0.5,0.5558112932537521,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,19/05/2019,0.561110771606824,0.6434532398148199,0.527172928517083,0.284863024299644,0.236701970297615,0.542167658610636,0.9360536325514108,0.5,0.738466434811487,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,20/05/2019,0.666665740745885,0.5960997431769179,0.572461142712221,0.616854976009906,0.23966037512573202,0.518071853690273,0.936120820572927,0.5,0.2398547983874689,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,23/05/2019,0.6694435030916489,0.682450237046033,0.521738342813666,0.295697260485993,0.22486835098514896,0.542167658610636,0.93607042955679,0.5,0.44326620603130995,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,26/05/2019,0.8888867284070641,0.618383741594754,0.49456541429658396,0.167234174276428,0.215993136500799,0.771077805354088,0.936238399610582,0.5,0.6748138854807609,Balsas
MC,MMONARCA II,    SMN EMAS,0.34949875726576396,0.48616278633569704,0.717564524008445,01/05/2019,0.908331064827418,0.0640692809510811,0.5670265570088039,0.025615229840582,0.307703686172416,0.3614491217079111,0.940068116837035,0.5,0.8118052416490621,Balsas
MC,MMONARCA II,    SMN EMAS,0.34949875726576396,0.48616278633569704,0.717564524008445,06/05/2019,0.280556774684585,0.28133826552498303,0.684775913916162,0.34832069339111604,0.210076326844565,0.42168863400881895,0.939883349777864,0.5,0.669278881191133,Balsas
MC,MMONARCA II,    SMN EMAS,0.34949875726576396,0.48616278633569704,0.717564524008445,13/05/2019,0.24722362653540805,0.272981766118295,0.6648490996703019,0.26783779600681,0.230785160641382,0.33735331678754704,0.9399337407940008,0.5,0.745846440530992,Balsas
MC,MMONARCA II,    SMN EMAS,0.34949875726576396,0.48616278633569704,0.717564524008445,17/05/2019,0.8944422530985942,0.958214717466755,0.4891308285931671,0.11925398545116901,0.257410804094432,0.530119756150454,0.940051319831655,0.5,0.553966291823876,Balsas
MC,MMONARCA II,    SMN EMAS,0.34949875726576396,0.48616278633569704,0.717564524008445,18/05/2019,0.8944422530985942,0.9999972145001981,0.6050686569327199,0.0643089305061136,0.242618779953849,0.7108382930531791,0.939900146783243,0.5,0.656363871182,Balsas
MC,MMONARCA II,    SMN EMAS,0.34949875726576396,0.48616278633569704,0.717564524008445,22/05/2019,0.3611118827117629,0.303622263942819,0.7681062280352159,0.297245008512614,0.2781196378912489,0.5662634635309991,0.939732176729451,0.5,0.779056466268761,Balsas
MC,MMONARCA II,    SMN EMAS,0.34949875726576396,0.48616278633569704,0.717564524008445,23/05/2019,0.8583313426036521,0.9025047214221652,0.4492772001014461,0.130862095650828,0.286994852375599,0.457832341389364,0.939866552772484,0.5,0.4183586867279821,Balsas
MC,MMONARCA II,    SMN EMAS,0.34949875726576396,0.48616278633569704,0.717564524008445,28/05/2019,0.8055538580341222,0.11420827739121199,0.4492772001014461,0.06972604859928799,0.263327613750666,0.8674610250355409,0.939698582718693,0.5,0.284134832704495,Balsas
MC,MMONARCA II,    SMN EMAS,0.34949875726576396,0.48616278633569704,0.717564524008445,31/05/2019,0.33611202159988,0.29805126433836,0.652168399695663,0.163364804209875,0.266286018578782,0.8433652201151779,0.939799364750968,0.5,0.442343705316372,Balsas
MC,PSA ZICUIRAN,    SMN EMAS,0.30559803375340505,0.385457199272911,0.06409781874954401,01/05/2019,0.6416658796340021,0.64066774001259,0.865928770696714,0.506190992106485,0.822466126264718,0.0722994626635503,0.98395869189283,0.5,0.46644556802201503,Balsas
MC,PSA ZICUIRAN,    SMN EMAS,0.30559803375340505,0.385457199272911,0.06409781874954401,06/05/2019,0.580555108027178,0.657380738825968,0.7681062280352159,0.297245008512614,0.775131649014851,1.2047902460181695e-05,0.984093067935863,0.5,0.46644556802201503,Balsas
MC,PSA ZICUIRAN,    SMN EMAS,0.30559803375340505,0.385457199272911,0.06409781874954401,13/05/2019,0.616666018522119,0.58774324377023,0.7554255280605771,0.40790899241603495,0.798798887639785,0.108443170044095,0.98395869189283,0.5,0.46644556802201503,Balsas
MC,PSA ZICUIRAN,    SMN EMAS,0.30559803375340505,0.385457199272911,0.06409781874954401,14/05/2019,0.6555546913628261,0.6044562425836071,0.8804209992391578,0.570422535211268,0.795840482811668,0.156634779884822,0.984042676919726,0.5,0.46644556802201503,Balsas
MC,PSA ZICUIRAN,    SMN EMAS,0.30559803375340505,0.385457199272911,0.06409781874954401,15/05/2019,0.624999305559414,0.651809739221509,0.913028513459657,0.4767837796006811,0.7840068634992009,0.168682682345004,0.9840762709304839,0.5,0.46644556802201503,Balsas
MC,PSA ZICUIRAN,    SMN EMAS,0.30559803375340505,0.385457199272911,0.06409781874954401,18/05/2019,0.0388914506030522,0.6462387396170489,0.7952791565522991,0.342903575297941,0.834299745577185,0.14458687742464002,0.983941894887451,0.5,0.46644556802201503,Balsas
MC,PSA ZICUIRAN,    SMN EMAS,0.30559803375340505,0.385457199272911,0.06409781874954401,20/05/2019,0.494444475308471,0.6434532398148199,0.8206405565015759,0.5255378424392511,0.819507721436602,0.0963952675839136,0.9838747068659341,0.5,0.46644556802201503,Balsas
